id,Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Population,Average Cost,Expenditure,Average Faculty Salary,Median Debt,Median Family Income,Median Earnings
p1023,Jacksonville State University,Public,Southeast,Small City,83,23,1036,7195,19202,6949,6857,16500,35158,31300
p607,Lesley University,Private,New England,Mid-size City,67,24,1065,1785,47788,9092,7838,19500,55849,33200
p144,University of Connecticut-Stamford,Public,New England,Mid-size City,41,21,1017,1224,13028,4958,14803,18983,86510,49700
p405,Christopher Newport University,Public,Southeast,Mid-size City,59,26,1161,5083,24696,8747,7705,19736.5,95158,39800
p522,Hawaii Pacific University,Private,Far West,Large City,64,22,1005,5386,29762,6203,8603,16250,41600,42100
p1193,Northwest University,Private,Far West,Large Suburb,97,24,1079,1354,34608,6881,6395,14000,56863,35700
p723,University of Louisville,Public,Southeast,Large City,71,25,1142,15023,21922,15806,9373,13300,45597.5,35800
p165,Bentley University,Private,New England,Small City,44,28,1234,4172,54806,13149,12158,26000,93494,69000
p1117,Minnesota State University-Moorhead,Public,Great Plains,Mid-size Suburb,89,23,1049,5912,18028,6745,7781,15772,64384,34500
p903,University of Louisiana at Monroe,Public,Southeast,Small City,77,23,1050,5863,14925,5777,6958,12708,28606,33700
p733,California State University-Chico,Public,Far West,Small City,72,22,1014,15106,22926,6800,8370,14889.5,37864,41100
p1185,Transylvania University,Private,Southeast,Large City,96,27,1213,1081,41374,9869,8282,25000,82262,36800
p1082,Texas Woman's University,Public,Southwest,Mid-size City,86,20,953,9220,16345,6445,7511,14385,36226,41900
p134,The University of Texas at Austin,Public,Southwest,Large City,40,28,1262,39323,25176,16906,10900,20500,62086,48600
p901,University of Denver,Private,Rocky Mountains,Large City,77,28,1231,5505,53614,14113,8914,20832,55997.5,47600
p699,Middle Tennessee State University,Public,Southeast,Mid-size City,70,22,1011,20914,17501,7418,7029,15000,42980,33100
p1138,Concordia University-Irvine,Private,Far West,Mid-size City,91,23,1020,1916,41233,5628,7044,18112,71434,38000
p1068,University of Puget Sound,Private,Far West,Mid-size City,85,28,1233,2542,53785,17749,9228,20789,84173.5,41400
p202,Concordia University-Texas,Private,Southwest,Large City,47,23,1035,1493,37394,5736,6269,15224,58229.5,37200
p923,Southern Polytechnic State University,Public,Southeast,Small City,78,24,1123,5636,16546,6169,5941,14750,44584,48900
p475,George Mason University,Public,Southeast,Large Suburb,62,26,1155,21324,22332,12122,10524,17250,53311,53100
p150,Florida Memorial University,Private,Southeast,Large Suburb,42,0,0,1517,25036,6668,6895,23750,21893.5,23700
p75,University of Richmond,Private,Southeast,Mid-size City,31,30,1313,3107,55980,18204,10983,18370,90735.5,51500
p812,Mount St Mary's College,Private,Far West,Large City,74,19,928,2617,47905,8160,8055,21500,39973.5,50300
p827,College of Our Lady of the Elms,Private,New England,Large Suburb,75,19,928,1308,40802,6539,6340,22160.5,71106.5,41300
p617,Salve Regina University,Private,New England,Large Suburb,67,25,1109,1989,48219,8057,7425,26303.5,100931,44800
p1166,Virginia Wesleyan College,Private,Southeast,Large City,93,21,1021,1436,41010,9280,7466,12500,71035,35900
p76,Boston College,Private,New England,Small City,32,32,1375,9465,58639,18302,13355,19000,81102,61800
p247,William Carey University,Private,Southeast,Small City,49,24,1105,2166,23962,6338,5888,18375,25265,32500
p368,Nova Southeastern University,Private,Southeast,Large Suburb,57,24,1084,5053,40783,10921,9482,19482,31833,42300
p257,Alabama State University,Public,Southeast,Mid-size City,51,17,830,5354,17400,7393,6557,15854.5,24029.5,22400
p194,Spring Hill College,Private,Southeast,Mid-size City,46,24,1100,1269,43325,6999,6057,20500,58994,37500
p62,University of North Carolina at Chapel Hill,Public,Southeast,Small City,28,30,1313,17882,23069,25891,11392,15000,64969.5,48000
p626,Albertus Magnus College,Private,New England,Mid-size City,68,0,830,1278,41520,5204,7601,26313,50062.5,48900
p1058,Missouri State University-Springfield,Public,Great Plains,Mid-size City,85,24,1090,15746,19117,6697,7135,15000,57869.5,34100
p805,Embry-Riddle Aeronautical University-Daytona Beach,Private,Southeast,Small City,74,24,1105,4666,45648,16386,8505,16500,52839,53800
p715,Livingstone College,Private,Southeast,Mid-size Suburb,71,15,723,1172,25050,4901,5557,16750,28538.5,20900
p600,Curry College,Private,New England,Large Suburb,67,18,931,2794,47519,9905,8319,18625,74416,41900
p888,Massachusetts Maritime Academy,Public,New England,Mid-size Suburb,77,22,1051,1362,22420,9178,7967,23250,86279,67500
p380,California State University-San Bernardino,Public,Far West,Mid-size City,58,18,888,15887,17030,6585,8558,16431,28986.5,40600
p1116,MCPHS University,Private,New England,Large City,89,24,1094,3808,43966,9840,8066,25000,61624,113100
p904,University of St Thomas,Private,Southwest,Large City,77,26,1121,1529,37271,11149,6830,20000,42131.5,43200
p883,Creighton University,Private,Great Plains,Large City,77,27,1214,3943,46248,13789,9081,21500,80669.5,51200
p784,Roanoke College,Private,Southeast,Mid-size Suburb,73,24,1086,1980,48559,10452,7327,24000,89451,38700
p256,University of New Orleans,Public,Southeast,Large City,50,23,1072,6854,16212,8079,7448,11750,27630.5,32900
p614,Point Loma Nazarene University,Private,Far West,Large City,67,26,1155,2543,43060,9224,9653,20500,78964,43900
p245,University of San Diego,Private,Far West,Large City,49,28,1228,5573,56346,13166,11648,19500,69873.5,53400
p403,Austin College,Private,Southwest,Small City,59,25,1181,1206,45800,14009,7605,23000,83025,41000
p679,Wheeling Jesuit University,Private,Southeast,Small City,69,22,1023,1139,34213,6856,5731,16625,66698,40000
p88,University of Missouri-Kansas City,Public,Great Plains,Large City,33,24,1105,8309,23437,15048,8305,15750,40642,41300
p1197,University of Sioux Falls,Private,Great Plains,Mid-size City,97,23,1064,1075,33909,6852,6075,16749,62665.5,34800
p674,University of North Carolina at Charlotte,Public,Southeast,Large City,69,23,1066,21400,17767,8855,8337,16500,51983,38300
p706,Virginia Polytechnic Institute and State University,Public,Southeast,Small City,70,0,1220,23928,25513,10476,10146,21500,95419,52900
p83,College of William and Mary,Public,Southeast,Small Suburb,33,30,1358,6235,25938,13265,10253,19500,98940,48800
p433,Providence College,Private,New England,Mid-size City,60,26,1158,3969,56184,12232,9471,27000,110798,52900
p540,University of Bridgeport,Private,New England,Mid-size City,64,20,923,2835,45640,7757,7160,17500,36730,37600
p615,Quinnipiac University,Private,New England,Large Suburb,67,25,1102,6486,53476,13065,8649,21852,108100,54100
p127,University of California-San Diego,Public,Far West,Large City,38,28,1276,23792,29751,22757,13126,18463,41248,50100
p909,Boise State University,Public,Rocky Mountains,Mid-size City,78,23,1050,16557,18227,6777,6905,16309,33780.5,33000
p569,Western Connecticut State University,Public,New England,Small City,65,0,0,5184,19446,8964,8712,17050,67834,38700
p750,Midwestern State University,Public,Southwest,Mid-size City,72,21,993,5192,15704,8018,7118,14950,42383.5,35600
p548,Anderson University,Private,Southeast,Small City,65,24,1079,2381,35340,5009,6409,19500,58707.5,32600
p107,Hampton University,Private,Southeast,Mid-size City,36,21,990,3529,32358,8966,7455,22870,55050,38000
p1198,Utah State University,Public,Rocky Mountains,Small City,97,24,1087,20775,16020,8255,8206,8750,29227,37300
p465,University of San Francisco,Private,Far West,Large City,61,25,1161,6308,55812,15041,12409,23000,70581,53300
p519,Evangel University,Private,Great Plains,Mid-size City,64,23,1046,2071,30988,6543,6433,16000,58776,32400
p1064,University of Mary Hardin-Baylor,Private,Southwest,Small Suburb,85,24,1069,3006,35000,8331,7197,16500,57382,38000
p720,Stonehill College,Private,New England,Large Suburb,71,25,1133,2473,50677,12896,8602,26000,116545,51700
p570,Whitworth University,Private,Far West,Large Suburb,65,0,0,2337,45655,9558,6730,22500,74397.5,35900
p430,Florida Institute of Technology,Private,Southeast,Small City,60,26,1153,3191,52490,10719,9025,8509,73416.5,50500
p912,Dominican University of California,Private,Far West,Small City,78,23,1057,1567,56165,14357,8770,25222,54367,48700
p705,Vanguard University of Southern California,Private,Far West,Mid-size City,70,23,980,2057,41952,6369,7714,19895,67855,33900
p552,Fontbonne University,Private,Great Plains,Large Suburb,65,23,1070,1242,30833,8770,6008,25000,45291,38100
