id,Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Population,Average Cost,Expenditure,Average Faculty Salary,Median Debt,Median Family Income,Median Earnings
p414,Southeastern University,Private,Southeast,Small City,59,20,955,2633,30333,5231,6899,14250,55937,28300
p70,California Polytechnic State University-San Luis Obispo,Public,Far West,Small Suburb,31,28,1242,18664,23867,9907,8675,17500,72114,55400
p15,Vanderbilt University,Private,Southeast,Large City,13,33,1475,6794,59890,76995,12871,13000,74999.5,54400
p1171,Southern Wesleyan University,Private,Southeast,Large Suburb,94,19,916,1314,31054,6353,5258,23375,43811,36800
p296,University of Arkansas at Little Rock,Public,Southeast,Mid-size City,53,24,1077,8504,19894,7292,7480,14250,26332.5,31600
p1044,North Dakota State University-Main Campus,Public,Great Plains,Mid-size City,84,24,1091,11629,18277,7707,8163,17000,71695,41400
p583,Lindenwood University,Private,Great Plains,Small City,66,23,1045,7928,30193,3942,6787,20500,62127,35400
p06,Massachusetts Institute of Technology,Private,New England,Mid-size City,8,34,1503,4510,57010,58223,15617,13000,79076,86900
p116,Pepperdine University,Private,Far West,Large Suburb,37,0,1235,3516,58772,11299,11650,25000,60331,52100
p105,Connecticut College,Private,New England,Small City,36,0,0,1878,58690,18480,9574,20712.5,94160,44500
p301,Elon University,Private,Southeast,Mid-size Suburb,54,25,1200,5599,41679,14745,8485,20500,104953,43600
p727,University of Nebraska at Omaha,Public,Great Plains,Large City,71,23,1070,12153,16860,7900,7860,13631,57671,38300
p236,Lane College,Private,Southeast,Small City,49,15,716,1554,17406,4813,4704,16018,25617,20300
p359,Florida State University,Public,Southeast,Mid-size City,57,27,1212,32086,20774,8596,9706,18750,51372.5,40000
p839,Saint Michael's College,Private,New England,Mid-size Suburb,75,26,1173,1941,48894,10627,8319,25000,96675.5,41600
p575,Drake University,Private,Great Plains,Mid-size City,66,28,1240,3310,42477,9273,9108,21500,88132.5,48000
p189,California State University-Northridge,Public,Far West,Large City,46,19,918,33581,20899,6952,8395,12500,27373,38300
p269,University of South Carolina-Aiken,Public,Southeast,Large Suburb,51,21,973,2956,18466,6883,6243,13750,41442,32800
p897,Samford University,Private,Southeast,Large Suburb,77,26,1153,2995,38835,14054,8261,20000,77481,41400
p568,University of New Mexico-Main Campus,Public,Southwest,Large City,65,22,1038,20847,16822,11288,8938,14164.5,26437,31900
p1151,Lee University,Private,Southeast,Small City,92,24,1094,4143,23554,5177,5605,17686.5,54410,30000
p443,University of North Carolina at Greensboro,Public,Southeast,Large City,60,23,1029,14138,17362,8803,7926,16000,50195,33300
p863,Johnson & Wales University-Providence,Private,New England,Mid-size City,76,0,0,9067,40136,5254,8309,20667,55421,33000
p1180,University of Houston-Downtown,Public,Southwest,Large City,95,19,894,13297,18879,4306,7279,13000,24928.5,38500
p210,Northern Kentucky University,Public,Southeast,Large Suburb,47,22,1024,11976,14603,7303,6780,15000,53630,32800
p312,Shaw University,Private,Southeast,Large City,54,0,0,1923,27079,6872,4929,15250,25825,25200
p675,University of Northwestern-St Paul,Private,Great Plains,Large Suburb,69,25,1126,2038,37803,7118,6078,18636.5,65093,32100
p138,Georgia Regents University,Public,Southeast,Mid-size City,41,21,1002,5456,7715,18217,7938,6250,0,0
p252,Nevada State College,Public,Far West,Large City,50,0,0,3076,16547,4910,7570,11819.5,45534,0
p955,Azusa Pacific University,Private,Far West,Large Suburb,80,24,1098,6543,44021,10343,9231,19000,72335.5,45800
p349,University of Georgia,Public,Southeast,Mid-size City,56,28,1247,26120,21162,8478,9015,16831,69003,42500
p724,University of Massachusetts-Boston,Public,New England,Large City,71,0,1015,11786,19763,12405,10100,16362,33287,42400
p01,Harvard University,Private,New England,Mid-size City,6,34,1501,7278,57950,47083,17861,7500,33323.5,77600
p1134,University of Dallas,Private,Southwest,Mid-size City,90,27,1216,1374,47437,9425,7217,17625,86001,38600
p629,Augustana College,Private,Great Plains,Mid-size City,68,24,1105,1615,36828,10615,6488,25249,76993.5,38200
p68,Texas Wesleyan University,Private,Southwest,Large City,30,21,997,1719,30696,9982,6803,19500,36026,40700
p545,University of South Carolina-Upstate,Public,Southeast,Mid-size Suburb,64,21,982,4952,20848,6703,6139,15750,41002.5,33600
p964,Husson University,Private,New England,Small City,80,19,962,2290,25019,6274,6539,21329,46670,34600
p1120,Rivier University,Private,New England,Small City,89,19,932,1524,39525,7573,6599,21000,77445,40700
p1096,University of Montevallo,Public,Southeast,Large Suburb,87,23,1070,2610,20209,7719,7035,15872,48019,30400
p178,Middle Georgia State College,Public,Southeast,Small City,45,0,0,7164,13472,5823,5105,8000,0,0
p1203,Embry-Riddle Aeronautical University-Worldwide,Private,Southeast,Small City,99,0,0,9689,20932,4047,5326,16500,52839,53800
p847,Westfield State University,Public,New England,Large Suburb,75,20,995,5524,19468,7042,8356,16250,78180,39300
p953,Angelo State University,Public,Southwest,Small City,80,21,965,5430,19511,6830,6867,11773,43559,34500
p347,Simpson University,Private,Far West,Small City,56,22,1030,1024,33889,6136,6144,16666,44207,28000
p740,Fitchburg State University,Public,New England,Mid-size Suburb,72,20,987,4148,17686,7938,8371,15529.5,70609.5,38700
p111,Colorado School of Mines,Public,Rocky Mountains,Large Suburb,37,29,1298,4197,29091,13498,10579,22625,74554,73000
p124,Southern Adventist University,Private,Southeast,Large Suburb,38,23,1050,2693,29085,9131,5123,18554,57374,33600
p132,University of La Verne,Private,Far West,Large Suburb,39,23,1035,5128,45305,7629,8605,22218,39519,45300
p59,Rhode Island School of Design,Private,New England,Mid-size City,27,28,1239,2005,59597,20460,7949,25000,75194,39200
p513,Central Connecticut State University,Public,New England,Large Suburb,64,22,1006,9512,20372,8990,8513,16852.5,66799.5,41200
p1182,Kansas State University,Public,Great Plains,Small City,96,0,0,19647,20140,10423,8154,17000,66719,39600
p322,Columbus State University,Public,Southeast,Mid-size City,55,21,984,6849,17029,7030,6212,14750,35427.5,30700
p875,University of Colorado Denver,Public,Rocky Mountains,Large City,76,23,1073,10470,18822,25568,9364,16750,36176,50100
p456,Mount Ida College,Private,New England,Small City,61,18,880,1261,41565,8163,6336,19000,61177,32600
p1073,West Virginia University,Public,Southeast,Small City,85,24,1062,22130,16898,11544,9237,14625,69116,38700
p503,San Jose State University,Public,Far West,Large City,63,22,1030,25723,21160,8070,9155,14000,27853.5,48100
p226,Texas A & M International University,Public,Southwest,Mid-size City,48,18,892,6560,15272,5482,7689,11250,23615.5,41100
p938,Marshall University,Public,Southeast,Small City,79,22,1022,9098,16361,8185,6867,14726.5,41261,31100
p281,The University of Tampa,Private,Southeast,Large City,52,24,1075,6476,37714,6103,8424,17550.5,66421,40200
p1104,Saint Martin's University,Private,Far West,Mid-size Suburb,88,22,1057,1299,40458,7281,6350,19843,43484,40200
p704,University of Northern Colorado,Public,Rocky Mountains,Small City,70,22,1029,9525,19105,7571,7487,14250,69484,36200
p671,University of Charleston,Private,Southeast,Small City,69,22,991,1373,32147,6862,6012,10250,56456,37600
p229,Brigham Young University-Provo,Private,Rocky Mountains,Mid-size City,49,29,1277,27765,17174,13268,9649,9260.5,20347,47400
p553,Jackson State University,Public,Southeast,Mid-size City,65,19,910,6880,18724,8323,6761,23750,21113,26000
p325,Georgia Institute of Technology-Main Campus,Public,Southeast,Large City,55,30,1352,13975,21980,13939,11230,20750,82697,65700
p455,Missouri Baptist University,Private,Great Plains,Large Suburb,61,22,1001,1710,30542,4293,5248,15807,50739.5,31800
p1040,Chaminade University of Honolulu,Private,Far West,Large City,84,21,972,1864,30801,8093,8006,15969.5,35422,37600
p55,Emory University,Private,Southeast,Large Suburb,26,31,1363,7705,58180,33796,12133,19000,64962,56900
p275,Framingham State University,Public,New England,Small City,52,22,1040,4255,21402,5080,7977,15522.5,72222.5,40200
p798,Assumption College,Private,New England,Mid-size City,74,0,0,2181,46763,7971,7852,24931,103026,47900
p265,Southern Methodist University,Private,Southwest,Large Suburb,51,29,1302,6295,57947,15884,11283,19000,63543.5,50400
p273,California State Polytechnic University-Pomona,Public,Far West,Large Suburb,52,23,1070,20857,19402,7355,9101,15703.5,30962,45000
p10,Claremont McKenna College,Private,Far West,Large Suburb,12,31,1397,1311,60065,26268,9388,12086,88986.5,55600
p802,Coastal Carolina University,Public,Southeast,Small City,74,21,993,8570,21601,7879,7130,14750,67086.5,32500
p209,North Carolina Wesleyan College,Private,Southeast,Small City,47,18,863,1602,36686,5604,5438,13514,38164.5,35100
p1033,University of Northern Iowa,Public,Great Plains,Small City,83,22,1030,10170,19233,9117,8062,18500,70699,38700
p1046,Palm Beach Atlantic University,Private,Southeast,Mid-size City,84,23,1061,2501,37535,7805,7362,16297,57521,36000
p1183,Park University,Private,Great Plains,Large Suburb,96,0,0,9723,21351,3658,6110,13500,34549,43600
p248,Flagler College-St Augustine,Private,Southeast,Small Suburb,50,23,1096,2839,28305,5796,6087,16500,61140,33800
p486,University of Hartford,Private,New England,Mid-size City,62,23,1053,5026,47368,12566,8178,19944,85192,39400
p184,University of South Florida-Main Campus,Public,Southeast,Large City,45,26,1168,30376,19299,8322,8082,16954,36808.5,37900
p206,Jacksonville University,Private,Southeast,Large City,47,22,1010,3360,42459,8135,6923,15000,55957,42100
p497,Lewis & Clark College,Private,Far West,Large City,63,29,1279,1985,53455,14496,9221,19115,67573,37600
p523,High Point University,Private,Southeast,Mid-size City,64,24,1087,3996,42300,8793,6894,18250,47907.5,34900
p217,California Lutheran University,Private,Far West,Mid-size City,48,24,1108,2882,48630,8149,9597,19500,76461,44300
p102,Wake Forest University,Private,Southeast,Mid-size City,35,0,0,4812,58260,26136,10928,21000,103314,52800
p991,University of North Alabama,Public,Southeast,Small City,81,22,1028,5536,15058,6814,7152,12542,40030,33000
p82,College of the Holy Cross,Private,New England,Mid-size City,33,0,0,2878,56706,18859,9666,27000,108458,55800
p1091,Nicholls State University,Public,Southeast,Small City,87,22,1030,5682,16071,5318,5785,11555,32069.5,32500
p390,Rhodes College,Private,Southeast,Large City,58,29,1288,2012,50659,14821,8035,22991,100407,41400
p1083,University of New England,Private,New England,Mid-size Suburb,86,24,1057,2179,47931,9692,7900,20955,74608,44200
p1181,Virginia State University,Public,Southeast,Large Suburb,95,17,811,5023,20075,8275,7414,17000,39006,29600
p974,University of Iowa,Public,Great Plains,Small City,80,27,1208,21314,21832,13911,10194,18692.5,74267,44000
p398,Wentworth Institute of Technology,Private,New England,Large City,58,24,1109,3975,43850,8790,8039,21700,81863,52100
p1049,The University of Texas of the Permian Basin,Public,Southwest,Mid-size City,84,21,1008,2947,14292,8991,7196,9015.5,29706,39100
p1029,Savannah State University,Public,Southeast,Mid-size City,83,18,847,4462,15531,5129,5294,17126,31664,26800
p820,University of New Haven,Private,New England,Large Suburb,74,23,1034,4759,48280,8635,9407,20500,78636,44000
p659,Charleston Southern University,Private,Southeast,Small City,69,21,973,2904,33245,5888,6087,15750,44120.5,32400
p819,University of Missouri-St Louis,Public,Great Plains,Large Suburb,74,24,1090,8928,22474,8703,8195,18223,37821,37500
p139,Gordon College,Private,New England,Large Suburb,41,26,1156,1681,43140,9906,7783,23000,88787,36700
p663,Mercer University,Private,Southeast,Small City,69,26,1171,4304,46382,10646,7918,21500,48287.5,43900
p835,Rockhurst University,Private,Great Plains,Large City,75,26,1164,1682,40582,7167,6863,14684,73905.5,43400
p848,Westminster College,Private,Rocky Mountains,Mid-size City,75,25,1134,2260,37990,10682,8393,17958,50415,41700
p185,West Virginia State University,Public,Southeast,Mid-size Suburb,45,20,942,2195,13756,6569,6067,12916,25404.5,27000
p573,California State University-Bakersfield,Public,Far West,Large City,66,19,901,7226,18061,6087,8122,11000,28069.5,42300
p895,Queens University of Charlotte,Private,Southeast,Large City,77,24,1058,1703,40930,9180,4064,18812.5,45248.5,38100
p535,San Francisco State University,Public,Far West,Large City,64,22,998,25271,22267,7919,9147,15000,29962,42100
p74,San Diego State University,Public,Far West,Large City,31,24,1090,26625,20252,6797,9229,14495,37534,44000
p354,Baylor University,Private,Southwest,Mid-size City,57,27,1215,13221,51086,14046,8793,21000,72163,43700
p1125,Alabama A & M University,Public,Southeast,Mid-size City,90,17,823,4051,18888,7459,7079,19500,29039,27000
p882,Colorado State University-Fort Collins,Public,Rocky Mountains,Mid-size City,77,25,1127,22482,21823,10417,8869,16707.5,69107,39500
